Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Birthrate,Deathrate
Cote d'Ivoire (Ivory Coast),SUB-SAHARAN AFRICA,17654843,322460,54.8,90.83,1400,50.9,35.11,14.84
Croatia,EASTERN EUROPE,4494749,56542,79.5,6.84,10600,98.5,9.61,11.48
Cuba,LATIN AMER. & CARIB,11382820,110860,102.7,6.33,2900,97,11.89,7.22
Cyprus,NEAR EAST,784301,9250,84.8,7.18,19200,97.6,12.56,7.68
Czech Republic,EASTERN EUROPE,10235455,78866,129.8,3.93,15700,99.9,9.02,10.59
Democratic Republic of Congo,SUB-SAHARAN AFRICA,62660551,2345410,26.7,94.69,700,65.5,43.69,13.27
Denmark,WESTERN EUROPE,5450661,43094,126.5,4.56,31100,100,11.13,10.36
Djibouti,SUB-SAHARAN AFRICA,486530,23000,21.2,104.13,1300,67.9,39.53,19.31
Dominica,LATIN AMER. & CARIB,68910,754,91.4,14.15,5400,94,15.27,6.73
Dominican Republic,LATIN AMER. & CARIB,9183984,48730,188.5,32.38,6000,84.7,23.22,5.73
East Timor,ASIA (EX. NEAR EAST),1062777,15007,70.8,47.41,500,58.6,26.99,6.24
Ecuador,LATIN AMER. & CARIB,13547510,283560,47.8,23.66,3300,92.5,22.29,4.23
Egypt,NORTHERN AFRICA,78887007,1001450,78.8,32.59,4000,57.7,22.94,5.23
El Salvador,LATIN AMER. & CARIB,6822378,21040,324.3,25.1,4800,80.2,26.61,5.78
Equatorial Guinea,SUB-SAHARAN AFRICA,540109,28051,19.3,85.13,2700,85.7,35.59,15.06
Eritrea,SUB-SAHARAN AFRICA,4786994,121320,39.5,74.87,700,58.6,34.33,9.6
Estonia,BALTICS,1324333,45226,29.3,7.87,12300,99.8,10.04,13.25
Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.3,95.32,700,42.7,37.98,14.86
Faroe Islands,WESTERN EUROPE,47246,1399,33.8,6.24,22000,Unknown,14.05,8.7
Federated States of Micronesia,OCEANIA,108004,702,153.9,30.21,2000,89,24.68,4.75
Fiji,OCEANIA,905949,18270,49.6,12.62,5800,93.7,22.55,5.65
Finland,WESTERN EUROPE,5231372,338145,15.5,3.57,27400,100,10.45,9.86
France,WESTERN EUROPE,60876136,547030,111.3,4.26,27600,99,11.99,9.14
French Guiana,LATIN AMER. & CARIB,199509,91000,2.2,12.07,8300,83,20.46,4.88
French Polynesia,OCEANIA,274578,4167,65.9,8.44,17500,98,16.68,4.69
Gabon,SUB-SAHARAN AFRICA,1424906,267667,5.3,53.64,5500,63.2,36.16,12.25
Gambia,SUB-SAHARAN AFRICA,1641564,11300,145.3,72.02,1700,40.1,39.37,12.25
Gaza Strip (Palestine),NEAR EAST,1428757,360,3968.8,22.93,600,Unknown,39.45,3.8
Georgia,C.W. OF IND. STATES,4661473,69700,66.9,18.59,2500,99,10.41,9.23
Germany,WESTERN EUROPE,82422299,357021,230.9,4.16,27600,99,8.25,10.62
Ghana,SUB-SAHARAN AFRICA,22409572,239460,93.6,51.43,2200,74.8,30.52,9.72
Gibraltar,WESTERN EUROPE,27928,7,3989.7,5.13,17500,Unknown,10.74,9.31
Greece,WESTERN EUROPE,10688058,131940,81,5.53,20000,97.5,9.68,10.24
Greenland,NORTHERN AMERICA,56361,2166086,0,15.82,20000,Unknown,15.93,7.84
Grenada,LATIN AMER. & CARIB,89703,344,260.8,14.62,5000,98,22.08,6.88
Guadeloupe,LATIN AMER. & CARIB,452776,1780,254.4,8.6,8000,90,15.05,6.09
Guam,OCEANIA,171019,541,316.1,6.94,21000,99,18.79,4.48
Guatemala,LATIN AMER. & CARIB,12293545,108890,112.9,35.93,4100,70.6,29.88,5.2
Guernsey,WESTERN EUROPE,65409,78,838.6,4.71,20000,Unknown,8.81,10.01
Guinea,SUB-SAHARAN AFRICA,9690222,245857,39.4,90.37,2100,35.9,41.76,15.48
Guinea-Bissau,SUB-SAHARAN AFRICA,1442029,36120,39.9,107.17,800,42.4,37.22,16.53
Guyana,LATIN AMER. & CARIB,767245,214970,3.6,33.26,4000,98.8,18.28,8.28
Haiti,LATIN AMER. & CARIB,8308504,27750,299.4,73.45,1600,52.9,36.44,12.17
Honduras,LATIN AMER. & CARIB,7326496,112090,65.4,29.32,2600,76.2,28.24,5.28
Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,6355.7,2.97,28800,93.5,7.29,6.29
Hungary,EASTERN EUROPE,9981334,93030,107.3,8.57,13900,99.4,9.72,13.11
Iceland,WESTERN EUROPE,299388,103000,2.9,3.31,30900,99.9,13.64,6.72
India,ASIA (EX. NEAR EAST),1095351995,3287590,333.2,56.29,2900,59.5,22.01,8.18
Indonesia,ASIA (EX. NEAR EAST),245452739,1919440,127.9,35.6,3200,87.9,20.34,6.25
Iran,ASIA (EX. NEAR EAST),68688433,1648000,41.7,41.58,7000,79.4,17,5.55
Iraq,NEAR EAST,26783383,437072,61.3,50.25,1500,40.4,31.98,5.37
Ireland,WESTERN EUROPE,4062235,70280,57.8,5.39,29600,98,14.45,7.82
Isle of Man,WESTERN EUROPE,75441,572,131.9,5.93,21000,Unknown,11.05,11.19
Israel,NEAR EAST,6352117,20770,305.8,7.03,19800,95.4,17.97,6.18
Italy,WESTERN EUROPE,58133509,301230,193,5.94,26700,98.6,8.72,10.4
Jamaica,LATIN AMER. & CARIB,2758124,10991,250.9,12.36,3900,87.9,20.82,6.52
Japan,ASIA (EX. NEAR EAST),127463611,377835,337.4,3.26,28200,99,9.37,9.16
Jersey,WESTERN EUROPE,91084,116,785.2,5.24,24800,Unknown,9.3,9.28
Jordan,NEAR EAST,5906760,92300,64,17.35,4300,91.3,21.25,2.65
Kazakhstan,C.W. OF IND. STATES,15233244,2717300,5.6,29.21,6300,98.4,16,9.42
Kenya,SUB-SAHARAN AFRICA,34707817,582650,59.6,61.47,1000,85.1,39.72,14.02
Kiribati,OCEANIA,105432,811,130,48.52,800,Unknown,30.65,8.26
Kuwait,NEAR EAST,2418393,17820,135.7,9.95,19000,83.5,21.94,2.41
Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,26.3,35.64,1600,97,22.8,7.08
Laos,ASIA (EX. NEAR EAST),6368481,236800,26.9,85.22,1700,66.4,35.49,11.55
Latvia,BALTICS,2274735,64589,35.2,9.55,10200,99.8,9.24,13.66
Lebanon,NEAR EAST,3874050,10400,372.5,24.52,4800,87.4,18.52,6.21
Lesotho,SUB-SAHARAN AFRICA,2022331,30355,66.6,84.23,3000,84.8,24.75,28.71
Liberia,SUB-SAHARAN AFRICA,3042004,111370,27.3,128.87,1000,57.5,44.77,23.1
Libya,NORTHERN AFRICA,5900754,1759540,3.4,24.6,6400,82.6,26.49,3.48
Liechtenstein,WESTERN EUROPE,33987,160,212.4,4.7,25000,100,10.21,7.18
Lithuania,BALTICS,3585906,65200,55,6.89,11400,99.6,8.75,10.98
Luxembourg,WESTERN EUROPE,474413,2586,183.5,4.81,55100,100,11.94,8.41
Macau,ASIA (EX. NEAR EAST),453125,28,16183,4.39,19400,94.5,8.48,4.47
Macedonia,EASTERN EUROPE,2050554,25333,80.9,10.09,6700,Unknown,12.02,8.77
Madagascar,SUB-SAHARAN AFRICA,18595469,587040,31.7,76.83,800,68.9,41.41,11.11
Malawi,SUB-SAHARAN AFRICA,13013926,118480,109.8,103.32,600,62.7,43.13,19.33
Malaysia,ASIA (EX. NEAR EAST),24385858,329750,74,17.7,9000,88.7,22.86,5.05
Maldives,ASIA (EX. NEAR EAST),359008,300,1196.7,56.52,3900,97.2,34.81,7.06
Mali,SUB-SAHARAN AFRICA,11716829,1240000,9.5,116.79,900,46.4,49.82,16.89
Malta,WESTERN EUROPE,400214,316,1266.5,3.89,17700,92.8,10.22,8.1
Marshall Islands,OCEANIA,60422,11854,5.1,29.45,1600,93.7,33.05,4.78
Martinique,LATIN AMER. & CARIB,436131,1100,396.5,7.09,14400,97.7,13.74,6.48
Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,3.1,70.89,1800,41.7,40.99,12.16
Mauritius,SUB-SAHARAN AFRICA,1240827,2040,608.3,15.03,11400,85.6,15.43,6.86
Mayotte,SUB-SAHARAN AFRICA,201234,374,538.1,62.4,2600,Unknown,40.95,7.7
Mexico,LATIN AMER. & CARIB,107449525,1972550,54.5,20.91,9000,92.2,20.69,4.74
